Label,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129
4,0,826718,0,595,450011,9902,95049,104063,160817,96730,181396,200,0,0,826718,0,-327,450011,9902,95049,104063,160817,96730,181396,200,0,0,934196,0,1024,180932,93917,27668,106498,117097,72229,298375,200,0,0,934196,0,1477,180932,93917,27668,106498,117097,72229,298375,200,0,0,934196,0,945,180932,93917,27668,106498,117097,72229,298375,200,0,0,934196,0,1140,180932,93917,27668,106498,117097,72229,298375,200,0,0,934196,0,-1251,180932,93917,27668,106498,117097,72229,298375,200,0,0,934196,0,-1128,180932,93917,27668,106498,117097,72229,298375,200,0,0,934196,0,1,180932,93917,27668,106498,117097,72229,298375,200,0,0,934196,0,1074,180932,93917,27668,106498,117097,72229,298375,200,0
4,0,826718,0,-327,450011,9902,95049,104063,160817,96730,181396,200,0,0,934196,0,1024,180932,93917,27668,106498,117097,72229,298375,200,0,0,934196,0,1477,180932,93917,27668,106498,117097,72229,298375,200,0,0,934196,0,945,180932,93917,27668,106498,117097,72229,298375,200,0,0,934196,0,1140,180932,93917,27668,106498,117097,72229,298375,200,0,0,934196,0,-1251,180932,93917,27668,106498,117097,72229,298375,200,0,0,934196,0,-1128,180932,93917,27668,106498,117097,72229,298375,200,0,0,934196,0,1,180932,93917,27668,106498,117097,72229,298375,200,0,0,934196,0,1074,180932,93917,27668,106498,117097,72229,298375,200,0,0,934196,0,620,180932,93917,27668,106498,117097,72229,298375,200,0
4,0,934196,0,1024,180932,93917,27668,106498,117097,72229,298375,200,0,0,934196,0,1477,180932,93917,27668,106498,117097,72229,298375,200,0,0,934196,0,945,180932,93917,27668,106498,117097,72229,298375,200,0,0,934196,0,1140,180932,93917,27668,106498,117097,72229,298375,200,0,0,934196,0,-1251,180932,93917,27668,106498,117097,72229,298375,200,0,0,934196,0,-1128,180932,93917,27668,106498,117097,72229,298375,200,0,0,934196,0,1,180932,93917,27668,106498,117097,72229,298375,200,0,0,934196,0,1074,180932,93917,27668,106498,117097,72229,298375,200,0,0,934196,0,620,180932,93917,27668,106498,117097,72229,298375,200,0,0,934196,0,-824,180932,93917,27668,106498,117097,72229,298375,200,0
4,0,934196,0,1477,180932,93917,27668,106498,117097,72229,298375,200,0,0,934196,0,945,180932,93917,27668,106498,117097,72229,298375,200,0,0,934196,0,1140,180932,93917,27668,106498,117097,72229,298375,200,0,0,934196,0,-1251,180932,93917,27668,106498,117097,72229,298375,200,0,0,934196,0,-1128,180932,93917,27668,106498,117097,72229,298375,200,0,0,934196,0,1,180932,93917,27668,106498,117097,72229,298375,200,0,0,934196,0,1074,180932,93917,27668,106498,117097,72229,298375,200,0,0,934196,0,620,180932,93917,27668,106498,117097,72229,298375,200,0,0,934196,0,-824,180932,93917,27668,106498,117097,72229,298375,200,0,0,1248309,0,726,1908740,644611,779000,487800,428655,465966,395303,200,0
4,0,934196,0,945,180932,93917,27668,106498,117097,72229,298375,200,0,0,934196,0,1140,180932,93917,27668,106498,117097,72229,298375,200,0,0,934196,0,-1251,180932,93917,27668,106498,117097,72229,298375,200,0,0,934196,0,-1128,180932,93917,27668,106498,117097,72229,298375,200,0,0,934196,0,1,180932,93917,27668,106498,117097,72229,298375,200,0,0,934196,0,1074,180932,93917,27668,106498,117097,72229,298375,200,0,0,934196,0,620,180932,93917,27668,106498,117097,72229,298375,200,0,0,934196,0,-824,180932,93917,27668,106498,117097,72229,298375,200,0,0,1248309,0,726,1908740,644611,779000,487800,428655,465966,395303,200,0,0,1248309,0,1485,1908740,644611,779000,487800,428655,465966,395303,200,0
4,0,934196,0,1140,180932,93917,27668,106498,117097,72229,298375,200,0,0,934196,0,-1251,180932,93917,27668,106498,117097,72229,298375,200,0,0,934196,0,-1128,180932,93917,27668,106498,117097,72229,298375,200,0,0,934196,0,1,180932,93917,27668,106498,117097,72229,298375,200,0,0,934196,0,1074,180932,93917,27668,106498,117097,72229,298375,200,0,0,934196,0,620,180932,93917,27668,106498,117097,72229,298375,200,0,0,934196,0,-824,180932,93917,27668,106498,117097,72229,298375,200,0,0,1248309,0,726,1908740,644611,779000,487800,428655,465966,395303,200,0,0,1248309,0,1485,1908740,644611,779000,487800,428655,465966,395303,200,0,0,1248309,0,828,1908740,644611,779000,487800,428655,465966,395303,200,0
4,0,934196,0,-1251,180932,93917,27668,106498,117097,72229,298375,200,0,0,934196,0,-1128,180932,93917,27668,106498,117097,72229,298375,200,0,0,934196,0,1,180932,93917,27668,106498,117097,72229,298375,200,0,0,934196,0,1074,180932,93917,27668,106498,117097,72229,298375,200,0,0,934196,0,620,180932,93917,27668,106498,117097,72229,298375,200,0,0,934196,0,-824,180932,93917,27668,106498,117097,72229,298375,200,0,0,1248309,0,726,1908740,644611,779000,487800,428655,465966,395303,200,0,0,1248309,0,1485,1908740,644611,779000,487800,428655,465966,395303,200,0,0,1248309,0,828,1908740,644611,779000,487800,428655,465966,395303,200,0,0,1248309,0,-825,1908740,644611,779000,487800,428655,465966,395303,200,0
4,0,934196,0,-1128,180932,93917,27668,106498,117097,72229,298375,200,0,0,934196,0,1,180932,93917,27668,106498,117097,72229,298375,200,0,0,934196,0,1074,180932,93917,27668,106498,117097,72229,298375,200,0,0,934196,0,620,180932,93917,27668,106498,117097,72229,298375,200,0,0,934196,0,-824,180932,93917,27668,106498,117097,72229,298375,200,0,0,1248309,0,726,1908740,644611,779000,487800,428655,465966,395303,200,0,0,1248309,0,1485,1908740,644611,779000,487800,428655,465966,395303,200,0,0,1248309,0,828,1908740,644611,779000,487800,428655,465966,395303,200,0,0,1248309,0,-825,1908740,644611,779000,487800,428655,465966,395303,200,0,0,1248309,0,-820,1908740,644611,779000,487800,428655,465966,395303,200,0
4,0,934196,0,1,180932,93917,27668,106498,117097,72229,298375,200,0,0,934196,0,1074,180932,93917,27668,106498,117097,72229,298375,200,0,0,934196,0,620,180932,93917,27668,106498,117097,72229,298375,200,0,0,934196,0,-824,180932,93917,27668,106498,117097,72229,298375,200,0,0,1248309,0,726,1908740,644611,779000,487800,428655,465966,395303,200,0,0,1248309,0,1485,1908740,644611,779000,487800,428655,465966,395303,200,0,0,1248309,0,828,1908740,644611,779000,487800,428655,465966,395303,200,0,0,1248309,0,-825,1908740,644611,779000,487800,428655,465966,395303,200,0,0,1248309,0,-820,1908740,644611,779000,487800,428655,465966,395303,200,0,0,1248309,0,-1025,1908740,644611,779000,487800,428655,465966,395303,200,0
4,0,934196,0,1074,180932,93917,27668,106498,117097,72229,298375,200,0,0,934196,0,620,180932,93917,27668,106498,117097,72229,298375,200,0,0,934196,0,-824,180932,93917,27668,106498,117097,72229,298375,200,0,0,1248309,0,726,1908740,644611,779000,487800,428655,465966,395303,200,0,0,1248309,0,1485,1908740,644611,779000,487800,428655,465966,395303,200,0,0,1248309,0,828,1908740,644611,779000,487800,428655,465966,395303,200,0,0,1248309,0,-825,1908740,644611,779000,487800,428655,465966,395303,200,0,0,1248309,0,-820,1908740,644611,779000,487800,428655,465966,395303,200,0,0,1248309,0,-1025,1908740,644611,779000,487800,428655,465966,395303,200,0,0,1248309,0,-1515,1908740,644611,779000,487800,428655,465966,395303,200,0
4,0,934196,0,620,180932,93917,27668,106498,117097,72229,298375,200,0,0,934196,0,-824,180932,93917,27668,106498,117097,72229,298375,200,0,0,1248309,0,726,1908740,644611,779000,487800,428655,465966,395303,200,0,0,1248309,0,1485,1908740,644611,779000,487800,428655,465966,395303,200,0,0,1248309,0,828,1908740,644611,779000,487800,428655,465966,395303,200,0,0,1248309,0,-825,1908740,644611,779000,487800,428655,465966,395303,200,0,0,1248309,0,-820,1908740,644611,779000,487800,428655,465966,395303,200,0,0,1248309,0,-1025,1908740,644611,779000,487800,428655,465966,395303,200,0,0,1248309,0,-1515,1908740,644611,779000,487800,428655,465966,395303,200,0,0,1248309,0,546,1908740,644611,779000,487800,428655,465966,395303,200,0
4,0,934196,0,-824,180932,93917,27668,106498,117097,72229,298375,200,0,0,1248309,0,726,1908740,644611,779000,487800,428655,465966,395303,200,0,0,1248309,0,1485,1908740,644611,779000,487800,428655,465966,395303,200,0,0,1248309,0,828,1908740,644611,779000,487800,428655,465966,395303,200,0,0,1248309,0,-825,1908740,644611,779000,487800,428655,465966,395303,200,0,0,1248309,0,-820,1908740,644611,779000,487800,428655,465966,395303,200,0,0,1248309,0,-1025,1908740,644611,779000,487800,428655,465966,395303,200,0,0,1248309,0,-1515,1908740,644611,779000,487800,428655,465966,395303,200,0,0,1248309,0,546,1908740,644611,779000,487800,428655,465966,395303,200,0,0,1248309,0,1752,1908740,644611,779000,487800,428655,465966,395303,200,0
4,0,1248309,0,726,1908740,644611,779000,487800,428655,465966,395303,200,0,0,1248309,0,1485,1908740,644611,779000,487800,428655,465966,395303,200,0,0,1248309,0,828,1908740,644611,779000,487800,428655,465966,395303,200,0,0,1248309,0,-825,1908740,644611,779000,487800,428655,465966,395303,200,0,0,1248309,0,-820,1908740,644611,779000,487800,428655,465966,395303,200,0,0,1248309,0,-1025,1908740,644611,779000,487800,428655,465966,395303,200,0,0,1248309,0,-1515,1908740,644611,779000,487800,428655,465966,395303,200,0,0,1248309,0,546,1908740,644611,779000,487800,428655,465966,395303,200,0,0,1248309,0,1752,1908740,644611,779000,487800,428655,465966,395303,200,0,0,1248309,0,59,1908740,644611,779000,487800,428655,465966,395303,200,0
4,0,1248309,0,1485,1908740,644611,779000,487800,428655,465966,395303,200,0,0,1248309,0,828,1908740,644611,779000,487800,428655,465966,395303,200,0,0,1248309,0,-825,1908740,644611,779000,487800,428655,465966,395303,200,0,0,1248309,0,-820,1908740,644611,779000,487800,428655,465966,395303,200,0,0,1248309,0,-1025,1908740,644611,779000,487800,428655,465966,395303,200,0,0,1248309,0,-1515,1908740,644611,779000,487800,428655,465966,395303,200,0,0,1248309,0,546,1908740,644611,779000,487800,428655,465966,395303,200,0,0,1248309,0,1752,1908740,644611,779000,487800,428655,465966,395303,200,0,0,1248309,0,59,1908740,644611,779000,487800,428655,465966,395303,200,0,0,1499204,0,-213,1381488,642661,705951,452085,428822,250499,544199,200,0
4,0,1248309,0,828,1908740,644611,779000,487800,428655,465966,395303,200,0,0,1248309,0,-825,1908740,644611,779000,487800,428655,465966,395303,200,0,0,1248309,0,-820,1908740,644611,779000,487800,428655,465966,395303,200,0,0,1248309,0,-1025,1908740,644611,779000,487800,428655,465966,395303,200,0,0,1248309,0,-1515,1908740,644611,779000,487800,428655,465966,395303,200,0,0,1248309,0,546,1908740,644611,779000,487800,428655,465966,395303,200,0,0,1248309,0,1752,1908740,644611,779000,487800,428655,465966,395303,200,0,0,1248309,0,59,1908740,644611,779000,487800,428655,465966,395303,200,0,0,1499204,0,-213,1381488,642661,705951,452085,428822,250499,544199,200,0,0,1499204,0,1306,1381488,642661,705951,452085,428822,250499,544199,200,0
4,0,1248309,0,-825,1908740,644611,779000,487800,428655,465966,395303,200,0,0,1248309,0,-820,1908740,644611,779000,487800,428655,465966,395303,200,0,0,1248309,0,-1025,1908740,644611,779000,487800,428655,465966,395303,200,0,0,1248309,0,-1515,1908740,644611,779000,487800,428655,465966,395303,200,0,0,1248309,0,546,1908740,644611,779000,487800,428655,465966,395303,200,0,0,1248309,0,1752,1908740,644611,779000,487800,428655,465966,395303,200,0,0,1248309,0,59,1908740,644611,779000,487800,428655,465966,395303,200,0,0,1499204,0,-213,1381488,642661,705951,452085,428822,250499,544199,200,0,0,1499204,0,1306,1381488,642661,705951,452085,428822,250499,544199,200,0,0,1499204,0,460,1381488,642661,705951,452085,428822,250499,544199,200,0
4,0,1248309,0,-820,1908740,644611,779000,487800,428655,465966,395303,200,0,0,1248309,0,-1025,1908740,644611,779000,487800,428655,465966,395303,200,0,0,1248309,0,-1515,1908740,644611,779000,487800,428655,465966,395303,200,0,0,1248309,0,546,1908740,644611,779000,487800,428655,465966,395303,200,0,0,1248309,0,1752,1908740,644611,779000,487800,428655,465966,395303,200,0,0,1248309,0,59,1908740,644611,779000,487800,428655,465966,395303,200,0,0,1499204,0,-213,1381488,642661,705951,452085,428822,250499,544199,200,0,0,1499204,0,1306,1381488,642661,705951,452085,428822,250499,544199,200,0,0,1499204,0,460,1381488,642661,705951,452085,428822,250499,544199,200,0,0,1499204,0,-594,1381488,642661,705951,452085,428822,250499,544199,200,0
4,0,1248309,0,-1025,1908740,644611,779000,487800,428655,465966,395303,200,0,0,1248309,0,-1515,1908740,644611,779000,487800,428655,465966,395303,200,0,0,1248309,0,546,1908740,644611,779000,487800,428655,465966,395303,200,0,0,1248309,0,1752,1908740,644611,779000,487800,428655,465966,395303,200,0,0,1248309,0,59,1908740,644611,779000,487800,428655,465966,395303,200,0,0,1499204,0,-213,1381488,642661,705951,452085,428822,250499,544199,200,0,0,1499204,0,1306,1381488,642661,705951,452085,428822,250499,544199,200,0,0,1499204,0,460,1381488,642661,705951,452085,428822,250499,544199,200,0,0,1499204,0,-594,1381488,642661,705951,452085,428822,250499,544199,200,0,0,1499204,0,773,1381488,642661,705951,452085,428822,250499,544199,200,0
4,0,1248309,0,-1515,1908740,644611,779000,487800,428655,465966,395303,200,0,0,1248309,0,546,1908740,644611,779000,487800,428655,465966,395303,200,0,0,1248309,0,1752,1908740,644611,779000,487800,428655,465966,395303,200,0,0,1248309,0,59,1908740,644611,779000,487800,428655,465966,395303,200,0,0,1499204,0,-213,1381488,642661,705951,452085,428822,250499,544199,200,0,0,1499204,0,1306,1381488,642661,705951,452085,428822,250499,544199,200,0,0,1499204,0,460,1381488,642661,705951,452085,428822,250499,544199,200,0,0,1499204,0,-594,1381488,642661,705951,452085,428822,250499,544199,200,0,0,1499204,0,773,1381488,642661,705951,452085,428822,250499,544199,200,0,0,1499204,0,715,1381488,642661,705951,452085,428822,250499,544199,200,0
4,0,1248309,0,546,1908740,644611,779000,487800,428655,465966,395303,200,0,0,1248309,0,1752,1908740,644611,779000,487800,428655,465966,395303,200,0,0,1248309,0,59,1908740,644611,779000,487800,428655,465966,395303,200,0,0,1499204,0,-213,1381488,642661,705951,452085,428822,250499,544199,200,0,0,1499204,0,1306,1381488,642661,705951,452085,428822,250499,544199,200,0,0,1499204,0,460,1381488,642661,705951,452085,428822,250499,544199,200,0,0,1499204,0,-594,1381488,642661,705951,452085,428822,250499,544199,200,0,0,1499204,0,773,1381488,642661,705951,452085,428822,250499,544199,200,0,0,1499204,0,715,1381488,642661,705951,452085,428822,250499,544199,200,0,0,1499204,0,-2048,1381488,642661,705951,452085,428822,250499,544199,200,0
4,0,1248309,0,1752,1908740,644611,779000,487800,428655,465966,395303,200,0,0,1248309,0,59,1908740,644611,779000,487800,428655,465966,395303,200,0,0,1499204,0,-213,1381488,642661,705951,452085,428822,250499,544199,200,0,0,1499204,0,1306,1381488,642661,705951,452085,428822,250499,544199,200,0,0,1499204,0,460,1381488,642661,705951,452085,428822,250499,544199,200,0,0,1499204,0,-594,1381488,642661,705951,452085,428822,250499,544199,200,0,0,1499204,0,773,1381488,642661,705951,452085,428822,250499,544199,200,0,0,1499204,0,715,1381488,642661,705951,452085,428822,250499,544199,200,0,0,1499204,0,-2048,1381488,642661,705951,452085,428822,250499,544199,200,0,0,1499204,0,2047,1381488,642661,705951,452085,428822,250499,544199,200,0
4,0,1248309,0,59,1908740,644611,779000,487800,428655,465966,395303,200,0,0,1499204,0,-213,1381488,642661,705951,452085,428822,250499,544199,200,0,0,1499204,0,1306,1381488,642661,705951,452085,428822,250499,544199,200,0,0,1499204,0,460,1381488,642661,705951,452085,428822,250499,544199,200,0,0,1499204,0,-594,1381488,642661,705951,452085,428822,250499,544199,200,0,0,1499204,0,773,1381488,642661,705951,452085,428822,250499,544199,200,0,0,1499204,0,715,1381488,642661,705951,452085,428822,250499,544199,200,0,0,1499204,0,-2048,1381488,642661,705951,452085,428822,250499,544199,200,0,0,1499204,0,2047,1381488,642661,705951,452085,428822,250499,544199,200,0,0,1499204,0,794,1381488,642661,705951,452085,428822,250499,544199,200,0
4,0,1499204,0,-213,1381488,642661,705951,452085,428822,250499,544199,200,0,0,1499204,0,1306,1381488,642661,705951,452085,428822,250499,544199,200,0,0,1499204,0,460,1381488,642661,705951,452085,428822,250499,544199,200,0,0,1499204,0,-594,1381488,642661,705951,452085,428822,250499,544199,200,0,0,1499204,0,773,1381488,642661,705951,452085,428822,250499,544199,200,0,0,1499204,0,715,1381488,642661,705951,452085,428822,250499,544199,200,0,0,1499204,0,-2048,1381488,642661,705951,452085,428822,250499,544199,200,0,0,1499204,0,2047,1381488,642661,705951,452085,428822,250499,544199,200,0,0,1499204,0,794,1381488,642661,705951,452085,428822,250499,544199,200,0,0,1499204,0,65,1381488,642661,705951,452085,428822,250499,544199,200,0
4,0,1499204,0,1306,1381488,642661,705951,452085,428822,250499,544199,200,0,0,1499204,0,460,1381488,642661,705951,452085,428822,250499,544199,200,0,0,1499204,0,-594,1381488,642661,705951,452085,428822,250499,544199,200,0,0,1499204,0,773,1381488,642661,705951,452085,428822,250499,544199,200,0,0,1499204,0,715,1381488,642661,705951,452085,428822,250499,544199,200,0,0,1499204,0,-2048,1381488,642661,705951,452085,428822,250499,544199,200,0,0,1499204,0,2047,1381488,642661,705951,452085,428822,250499,544199,200,0,0,1499204,0,794,1381488,642661,705951,452085,428822,250499,544199,200,0,0,1499204,0,65,1381488,642661,705951,452085,428822,250499,544199,200,0,0,1079071,0,-67,755361,137084,98041,85592,58341,52371,321134,200,0
4,0,1499204,0,460,1381488,642661,705951,452085,428822,250499,544199,200,0,0,1499204,0,-594,1381488,642661,705951,452085,428822,250499,544199,200,0,0,1499204,0,773,1381488,642661,705951,452085,428822,250499,544199,200,0,0,1499204,0,715,1381488,642661,705951,452085,428822,250499,544199,200,0,0,1499204,0,-2048,1381488,642661,705951,452085,428822,250499,544199,200,0,0,1499204,0,2047,1381488,642661,705951,452085,428822,250499,544199,200,0,0,1499204,0,794,1381488,642661,705951,452085,428822,250499,544199,200,0,0,1499204,0,65,1381488,642661,705951,452085,428822,250499,544199,200,0,0,1079071,0,-67,755361,137084,98041,85592,58341,52371,321134,200,0,0,1079071,0,84,755361,137084,98041,85592,58341,52371,321134,200,0
4,0,1499204,0,-594,1381488,642661,705951,452085,428822,250499,544199,200,0,0,1499204,0,773,1381488,642661,705951,452085,428822,250499,544199,200,0,0,1499204,0,715,1381488,642661,705951,452085,428822,250499,544199,200,0,0,1499204,0,-2048,1381488,642661,705951,452085,428822,250499,544199,200,0,0,1499204,0,2047,1381488,642661,705951,452085,428822,250499,544199,200,0,0,1499204,0,794,1381488,642661,705951,452085,428822,250499,544199,200,0,0,1499204,0,65,1381488,642661,705951,452085,428822,250499,544199,200,0,0,1079071,0,-67,755361,137084,98041,85592,58341,52371,321134,200,0,0,1079071,0,84,755361,137084,98041,85592,58341,52371,321134,200,0,0,1079071,0,-866,755361,137084,98041,85592,58341,52371,321134,200,0
4,0,1499204,0,773,1381488,642661,705951,452085,428822,250499,544199,200,0,0,1499204,0,715,1381488,642661,705951,452085,428822,250499,544199,200,0,0,1499204,0,-2048,1381488,642661,705951,452085,428822,250499,544199,200,0,0,1499204,0,2047,1381488,642661,705951,452085,428822,250499,544199,200,0,0,1499204,0,794,1381488,642661,705951,452085,428822,250499,544199,200,0,0,1499204,0,65,1381488,642661,705951,452085,428822,250499,544199,200,0,0,1079071,0,-67,755361,137084,98041,85592,58341,52371,321134,200,0,0,1079071,0,84,755361,137084,98041,85592,58341,52371,321134,200,0,0,1079071,0,-866,755361,137084,98041,85592,58341,52371,321134,200,0,0,1079071,0,1060,755361,137084,98041,85592,58341,52371,321134,200,0
