Label,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129
2,0,531107,0,-508,373050,44212,105175,63102,74096,121348,256664,26,0,0,531107,0,-814,373050,44212,105175,63102,74096,121348,256664,26,0,0,531107,0,-600,373050,44212,105175,63102,74096,121348,256664,26,0,0,531107,0,452,373050,44212,105175,63102,74096,121348,256664,26,0,0,531107,0,821,373050,44212,105175,63102,74096,121348,256664,26,0,0,531107,0,892,373050,44212,105175,63102,74096,121348,256664,26,0,0,531107,0,166,373050,44212,105175,63102,74096,121348,256664,26,0,0,531107,0,-706,373050,44212,105175,63102,74096,121348,256664,26,0,0,369647,0,961,593587,51270,119590,45771,89766,77395,232848,26,0,0,369647,0,523,593587,51270,119590,45771,89766,77395,232848,26,0
2,0,531107,0,-814,373050,44212,105175,63102,74096,121348,256664,26,0,0,531107,0,-600,373050,44212,105175,63102,74096,121348,256664,26,0,0,531107,0,452,373050,44212,105175,63102,74096,121348,256664,26,0,0,531107,0,821,373050,44212,105175,63102,74096,121348,256664,26,0,0,531107,0,892,373050,44212,105175,63102,74096,121348,256664,26,0,0,531107,0,166,373050,44212,105175,63102,74096,121348,256664,26,0,0,531107,0,-706,373050,44212,105175,63102,74096,121348,256664,26,0,0,369647,0,961,593587,51270,119590,45771,89766,77395,232848,26,0,0,369647,0,523,593587,51270,119590,45771,89766,77395,232848,26,0,0,369647,0,-466,593587,51270,119590,45771,89766,77395,232848,26,0
2,0,531107,0,-600,373050,44212,105175,63102,74096,121348,256664,26,0,0,531107,0,452,373050,44212,105175,63102,74096,121348,256664,26,0,0,531107,0,821,373050,44212,105175,63102,74096,121348,256664,26,0,0,531107,0,892,373050,44212,105175,63102,74096,121348,256664,26,0,0,531107,0,166,373050,44212,105175,63102,74096,121348,256664,26,0,0,531107,0,-706,373050,44212,105175,63102,74096,121348,256664,26,0,0,369647,0,961,593587,51270,119590,45771,89766,77395,232848,26,0,0,369647,0,523,593587,51270,119590,45771,89766,77395,232848,26,0,0,369647,0,-466,593587,51270,119590,45771,89766,77395,232848,26,0,0,369647,0,-824,593587,51270,119590,45771,89766,77395,232848,26,0
2,0,531107,0,452,373050,44212,105175,63102,74096,121348,256664,26,0,0,531107,0,821,373050,44212,105175,63102,74096,121348,256664,26,0,0,531107,0,892,373050,44212,105175,63102,74096,121348,256664,26,0,0,531107,0,166,373050,44212,105175,63102,74096,121348,256664,26,0,0,531107,0,-706,373050,44212,105175,63102,74096,121348,256664,26,0,0,369647,0,961,593587,51270,119590,45771,89766,77395,232848,26,0,0,369647,0,523,593587,51270,119590,45771,89766,77395,232848,26,0,0,369647,0,-466,593587,51270,119590,45771,89766,77395,232848,26,0,0,369647,0,-824,593587,51270,119590,45771,89766,77395,232848,26,0,0,369647,0,1040,593587,51270,119590,45771,89766,77395,232848,26,0
2,0,531107,0,821,373050,44212,105175,63102,74096,121348,256664,26,0,0,531107,0,892,373050,44212,105175,63102,74096,121348,256664,26,0,0,531107,0,166,373050,44212,105175,63102,74096,121348,256664,26,0,0,531107,0,-706,373050,44212,105175,63102,74096,121348,256664,26,0,0,369647,0,961,593587,51270,119590,45771,89766,77395,232848,26,0,0,369647,0,523,593587,51270,119590,45771,89766,77395,232848,26,0,0,369647,0,-466,593587,51270,119590,45771,89766,77395,232848,26,0,0,369647,0,-824,593587,51270,119590,45771,89766,77395,232848,26,0,0,369647,0,1040,593587,51270,119590,45771,89766,77395,232848,26,0,0,369647,0,118,593587,51270,119590,45771,89766,77395,232848,26,0
2,0,531107,0,892,373050,44212,105175,63102,74096,121348,256664,26,0,0,531107,0,166,373050,44212,105175,63102,74096,121348,256664,26,0,0,531107,0,-706,373050,44212,105175,63102,74096,121348,256664,26,0,0,369647,0,961,593587,51270,119590,45771,89766,77395,232848,26,0,0,369647,0,523,593587,51270,119590,45771,89766,77395,232848,26,0,0,369647,0,-466,593587,51270,119590,45771,89766,77395,232848,26,0,0,369647,0,-824,593587,51270,119590,45771,89766,77395,232848,26,0,0,369647,0,1040,593587,51270,119590,45771,89766,77395,232848,26,0,0,369647,0,118,593587,51270,119590,45771,89766,77395,232848,26,0,0,369647,0,727,593587,51270,119590,45771,89766,77395,232848,26,0
2,0,531107,0,166,373050,44212,105175,63102,74096,121348,256664,26,0,0,531107,0,-706,373050,44212,105175,63102,74096,121348,256664,26,0,0,369647,0,961,593587,51270,119590,45771,89766,77395,232848,26,0,0,369647,0,523,593587,51270,119590,45771,89766,77395,232848,26,0,0,369647,0,-466,593587,51270,119590,45771,89766,77395,232848,26,0,0,369647,0,-824,593587,51270,119590,45771,89766,77395,232848,26,0,0,369647,0,1040,593587,51270,119590,45771,89766,77395,232848,26,0,0,369647,0,118,593587,51270,119590,45771,89766,77395,232848,26,0,0,369647,0,727,593587,51270,119590,45771,89766,77395,232848,26,0,0,369647,0,968,593587,51270,119590,45771,89766,77395,232848,26,0
2,0,531107,0,-706,373050,44212,105175,63102,74096,121348,256664,26,0,0,369647,0,961,593587,51270,119590,45771,89766,77395,232848,26,0,0,369647,0,523,593587,51270,119590,45771,89766,77395,232848,26,0,0,369647,0,-466,593587,51270,119590,45771,89766,77395,232848,26,0,0,369647,0,-824,593587,51270,119590,45771,89766,77395,232848,26,0,0,369647,0,1040,593587,51270,119590,45771,89766,77395,232848,26,0,0,369647,0,118,593587,51270,119590,45771,89766,77395,232848,26,0,0,369647,0,727,593587,51270,119590,45771,89766,77395,232848,26,0,0,369647,0,968,593587,51270,119590,45771,89766,77395,232848,26,0,0,369647,0,393,593587,51270,119590,45771,89766,77395,232848,26,0
2,0,369647,0,961,593587,51270,119590,45771,89766,77395,232848,26,0,0,369647,0,523,593587,51270,119590,45771,89766,77395,232848,26,0,0,369647,0,-466,593587,51270,119590,45771,89766,77395,232848,26,0,0,369647,0,-824,593587,51270,119590,45771,89766,77395,232848,26,0,0,369647,0,1040,593587,51270,119590,45771,89766,77395,232848,26,0,0,369647,0,118,593587,51270,119590,45771,89766,77395,232848,26,0,0,369647,0,727,593587,51270,119590,45771,89766,77395,232848,26,0,0,369647,0,968,593587,51270,119590,45771,89766,77395,232848,26,0,0,369647,0,393,593587,51270,119590,45771,89766,77395,232848,26,0,0,369647,0,-459,593587,51270,119590,45771,89766,77395,232848,26,0
2,0,369647,0,523,593587,51270,119590,45771,89766,77395,232848,26,0,0,369647,0,-466,593587,51270,119590,45771,89766,77395,232848,26,0,0,369647,0,-824,593587,51270,119590,45771,89766,77395,232848,26,0,0,369647,0,1040,593587,51270,119590,45771,89766,77395,232848,26,0,0,369647,0,118,593587,51270,119590,45771,89766,77395,232848,26,0,0,369647,0,727,593587,51270,119590,45771,89766,77395,232848,26,0,0,369647,0,968,593587,51270,119590,45771,89766,77395,232848,26,0,0,369647,0,393,593587,51270,119590,45771,89766,77395,232848,26,0,0,369647,0,-459,593587,51270,119590,45771,89766,77395,232848,26,0,0,160239,0,722,892086,56162,281329,85763,50635,111399,205386,26,0
2,0,369647,0,-466,593587,51270,119590,45771,89766,77395,232848,26,0,0,369647,0,-824,593587,51270,119590,45771,89766,77395,232848,26,0,0,369647,0,1040,593587,51270,119590,45771,89766,77395,232848,26,0,0,369647,0,118,593587,51270,119590,45771,89766,77395,232848,26,0,0,369647,0,727,593587,51270,119590,45771,89766,77395,232848,26,0,0,369647,0,968,593587,51270,119590,45771,89766,77395,232848,26,0,0,369647,0,393,593587,51270,119590,45771,89766,77395,232848,26,0,0,369647,0,-459,593587,51270,119590,45771,89766,77395,232848,26,0,0,160239,0,722,892086,56162,281329,85763,50635,111399,205386,26,0,0,160239,0,861,892086,56162,281329,85763,50635,111399,205386,26,0
2,0,369647,0,-824,593587,51270,119590,45771,89766,77395,232848,26,0,0,369647,0,1040,593587,51270,119590,45771,89766,77395,232848,26,0,0,369647,0,118,593587,51270,119590,45771,89766,77395,232848,26,0,0,369647,0,727,593587,51270,119590,45771,89766,77395,232848,26,0,0,369647,0,968,593587,51270,119590,45771,89766,77395,232848,26,0,0,369647,0,393,593587,51270,119590,45771,89766,77395,232848,26,0,0,369647,0,-459,593587,51270,119590,45771,89766,77395,232848,26,0,0,160239,0,722,892086,56162,281329,85763,50635,111399,205386,26,0,0,160239,0,861,892086,56162,281329,85763,50635,111399,205386,26,0,0,160239,0,581,892086,56162,281329,85763,50635,111399,205386,26,0
2,0,369647,0,1040,593587,51270,119590,45771,89766,77395,232848,26,0,0,369647,0,118,593587,51270,119590,45771,89766,77395,232848,26,0,0,369647,0,727,593587,51270,119590,45771,89766,77395,232848,26,0,0,369647,0,968,593587,51270,119590,45771,89766,77395,232848,26,0,0,369647,0,393,593587,51270,119590,45771,89766,77395,232848,26,0,0,369647,0,-459,593587,51270,119590,45771,89766,77395,232848,26,0,0,160239,0,722,892086,56162,281329,85763,50635,111399,205386,26,0,0,160239,0,861,892086,56162,281329,85763,50635,111399,205386,26,0,0,160239,0,581,892086,56162,281329,85763,50635,111399,205386,26,0,0,160239,0,-727,892086,56162,281329,85763,50635,111399,205386,26,0
2,0,369647,0,118,593587,51270,119590,45771,89766,77395,232848,26,0,0,369647,0,727,593587,51270,119590,45771,89766,77395,232848,26,0,0,369647,0,968,593587,51270,119590,45771,89766,77395,232848,26,0,0,369647,0,393,593587,51270,119590,45771,89766,77395,232848,26,0,0,369647,0,-459,593587,51270,119590,45771,89766,77395,232848,26,0,0,160239,0,722,892086,56162,281329,85763,50635,111399,205386,26,0,0,160239,0,861,892086,56162,281329,85763,50635,111399,205386,26,0,0,160239,0,581,892086,56162,281329,85763,50635,111399,205386,26,0,0,160239,0,-727,892086,56162,281329,85763,50635,111399,205386,26,0,0,160239,0,-821,892086,56162,281329,85763,50635,111399,205386,26,0
2,0,369647,0,727,593587,51270,119590,45771,89766,77395,232848,26,0,0,369647,0,968,593587,51270,119590,45771,89766,77395,232848,26,0,0,369647,0,393,593587,51270,119590,45771,89766,77395,232848,26,0,0,369647,0,-459,593587,51270,119590,45771,89766,77395,232848,26,0,0,160239,0,722,892086,56162,281329,85763,50635,111399,205386,26,0,0,160239,0,861,892086,56162,281329,85763,50635,111399,205386,26,0,0,160239,0,581,892086,56162,281329,85763,50635,111399,205386,26,0,0,160239,0,-727,892086,56162,281329,85763,50635,111399,205386,26,0,0,160239,0,-821,892086,56162,281329,85763,50635,111399,205386,26,0,0,160239,0,-381,892086,56162,281329,85763,50635,111399,205386,26,0
2,0,369647,0,968,593587,51270,119590,45771,89766,77395,232848,26,0,0,369647,0,393,593587,51270,119590,45771,89766,77395,232848,26,0,0,369647,0,-459,593587,51270,119590,45771,89766,77395,232848,26,0,0,160239,0,722,892086,56162,281329,85763,50635,111399,205386,26,0,0,160239,0,861,892086,56162,281329,85763,50635,111399,205386,26,0,0,160239,0,581,892086,56162,281329,85763,50635,111399,205386,26,0,0,160239,0,-727,892086,56162,281329,85763,50635,111399,205386,26,0,0,160239,0,-821,892086,56162,281329,85763,50635,111399,205386,26,0,0,160239,0,-381,892086,56162,281329,85763,50635,111399,205386,26,0,0,160239,0,314,892086,56162,281329,85763,50635,111399,205386,26,0
2,0,369647,0,393,593587,51270,119590,45771,89766,77395,232848,26,0,0,369647,0,-459,593587,51270,119590,45771,89766,77395,232848,26,0,0,160239,0,722,892086,56162,281329,85763,50635,111399,205386,26,0,0,160239,0,861,892086,56162,281329,85763,50635,111399,205386,26,0,0,160239,0,581,892086,56162,281329,85763,50635,111399,205386,26,0,0,160239,0,-727,892086,56162,281329,85763,50635,111399,205386,26,0,0,160239,0,-821,892086,56162,281329,85763,50635,111399,205386,26,0,0,160239,0,-381,892086,56162,281329,85763,50635,111399,205386,26,0,0,160239,0,314,892086,56162,281329,85763,50635,111399,205386,26,0,0,160239,0,794,892086,56162,281329,85763,50635,111399,205386,26,0
2,0,369647,0,-459,593587,51270,119590,45771,89766,77395,232848,26,0,0,160239,0,722,892086,56162,281329,85763,50635,111399,205386,26,0,0,160239,0,861,892086,56162,281329,85763,50635,111399,205386,26,0,0,160239,0,581,892086,56162,281329,85763,50635,111399,205386,26,0,0,160239,0,-727,892086,56162,281329,85763,50635,111399,205386,26,0,0,160239,0,-821,892086,56162,281329,85763,50635,111399,205386,26,0,0,160239,0,-381,892086,56162,281329,85763,50635,111399,205386,26,0,0,160239,0,314,892086,56162,281329,85763,50635,111399,205386,26,0,0,160239,0,794,892086,56162,281329,85763,50635,111399,205386,26,0,0,160239,0,966,892086,56162,281329,85763,50635,111399,205386,26,0
2,0,160239,0,722,892086,56162,281329,85763,50635,111399,205386,26,0,0,160239,0,861,892086,56162,281329,85763,50635,111399,205386,26,0,0,160239,0,581,892086,56162,281329,85763,50635,111399,205386,26,0,0,160239,0,-727,892086,56162,281329,85763,50635,111399,205386,26,0,0,160239,0,-821,892086,56162,281329,85763,50635,111399,205386,26,0,0,160239,0,-381,892086,56162,281329,85763,50635,111399,205386,26,0,0,160239,0,314,892086,56162,281329,85763,50635,111399,205386,26,0,0,160239,0,794,892086,56162,281329,85763,50635,111399,205386,26,0,0,160239,0,966,892086,56162,281329,85763,50635,111399,205386,26,0,0,160239,0,-641,892086,56162,281329,85763,50635,111399,205386,26,0
2,0,160239,0,861,892086,56162,281329,85763,50635,111399,205386,26,0,0,160239,0,581,892086,56162,281329,85763,50635,111399,205386,26,0,0,160239,0,-727,892086,56162,281329,85763,50635,111399,205386,26,0,0,160239,0,-821,892086,56162,281329,85763,50635,111399,205386,26,0,0,160239,0,-381,892086,56162,281329,85763,50635,111399,205386,26,0,0,160239,0,314,892086,56162,281329,85763,50635,111399,205386,26,0,0,160239,0,794,892086,56162,281329,85763,50635,111399,205386,26,0,0,160239,0,966,892086,56162,281329,85763,50635,111399,205386,26,0,0,160239,0,-641,892086,56162,281329,85763,50635,111399,205386,26,0,0,138565,0,646,583145,95959,81931,96486,117653,53198,155133,26,0
2,0,160239,0,581,892086,56162,281329,85763,50635,111399,205386,26,0,0,160239,0,-727,892086,56162,281329,85763,50635,111399,205386,26,0,0,160239,0,-821,892086,56162,281329,85763,50635,111399,205386,26,0,0,160239,0,-381,892086,56162,281329,85763,50635,111399,205386,26,0,0,160239,0,314,892086,56162,281329,85763,50635,111399,205386,26,0,0,160239,0,794,892086,56162,281329,85763,50635,111399,205386,26,0,0,160239,0,966,892086,56162,281329,85763,50635,111399,205386,26,0,0,160239,0,-641,892086,56162,281329,85763,50635,111399,205386,26,0,0,138565,0,646,583145,95959,81931,96486,117653,53198,155133,26,0,0,138565,0,845,583145,95959,81931,96486,117653,53198,155133,26,0
2,0,160239,0,-727,892086,56162,281329,85763,50635,111399,205386,26,0,0,160239,0,-821,892086,56162,281329,85763,50635,111399,205386,26,0,0,160239,0,-381,892086,56162,281329,85763,50635,111399,205386,26,0,0,160239,0,314,892086,56162,281329,85763,50635,111399,205386,26,0,0,160239,0,794,892086,56162,281329,85763,50635,111399,205386,26,0,0,160239,0,966,892086,56162,281329,85763,50635,111399,205386,26,0,0,160239,0,-641,892086,56162,281329,85763,50635,111399,205386,26,0,0,138565,0,646,583145,95959,81931,96486,117653,53198,155133,26,0,0,138565,0,845,583145,95959,81931,96486,117653,53198,155133,26,0,0,138565,0,-940,583145,95959,81931,96486,117653,53198,155133,26,0
2,0,160239,0,-821,892086,56162,281329,85763,50635,111399,205386,26,0,0,160239,0,-381,892086,56162,281329,85763,50635,111399,205386,26,0,0,160239,0,314,892086,56162,281329,85763,50635,111399,205386,26,0,0,160239,0,794,892086,56162,281329,85763,50635,111399,205386,26,0,0,160239,0,966,892086,56162,281329,85763,50635,111399,205386,26,0,0,160239,0,-641,892086,56162,281329,85763,50635,111399,205386,26,0,0,138565,0,646,583145,95959,81931,96486,117653,53198,155133,26,0,0,138565,0,845,583145,95959,81931,96486,117653,53198,155133,26,0,0,138565,0,-940,583145,95959,81931,96486,117653,53198,155133,26,0,0,138565,0,-364,583145,95959,81931,96486,117653,53198,155133,26,0
2,0,160239,0,-381,892086,56162,281329,85763,50635,111399,205386,26,0,0,160239,0,314,892086,56162,281329,85763,50635,111399,205386,26,0,0,160239,0,794,892086,56162,281329,85763,50635,111399,205386,26,0,0,160239,0,966,892086,56162,281329,85763,50635,111399,205386,26,0,0,160239,0,-641,892086,56162,281329,85763,50635,111399,205386,26,0,0,138565,0,646,583145,95959,81931,96486,117653,53198,155133,26,0,0,138565,0,845,583145,95959,81931,96486,117653,53198,155133,26,0,0,138565,0,-940,583145,95959,81931,96486,117653,53198,155133,26,0,0,138565,0,-364,583145,95959,81931,96486,117653,53198,155133,26,0,0,138565,0,-698,583145,95959,81931,96486,117653,53198,155133,26,0
2,0,160239,0,314,892086,56162,281329,85763,50635,111399,205386,26,0,0,160239,0,794,892086,56162,281329,85763,50635,111399,205386,26,0,0,160239,0,966,892086,56162,281329,85763,50635,111399,205386,26,0,0,160239,0,-641,892086,56162,281329,85763,50635,111399,205386,26,0,0,138565,0,646,583145,95959,81931,96486,117653,53198,155133,26,0,0,138565,0,845,583145,95959,81931,96486,117653,53198,155133,26,0,0,138565,0,-940,583145,95959,81931,96486,117653,53198,155133,26,0,0,138565,0,-364,583145,95959,81931,96486,117653,53198,155133,26,0,0,138565,0,-698,583145,95959,81931,96486,117653,53198,155133,26,0,0,138565,0,-589,583145,95959,81931,96486,117653,53198,155133,26,0
2,0,160239,0,794,892086,56162,281329,85763,50635,111399,205386,26,0,0,160239,0,966,892086,56162,281329,85763,50635,111399,205386,26,0,0,160239,0,-641,892086,56162,281329,85763,50635,111399,205386,26,0,0,138565,0,646,583145,95959,81931,96486,117653,53198,155133,26,0,0,138565,0,845,583145,95959,81931,96486,117653,53198,155133,26,0,0,138565,0,-940,583145,95959,81931,96486,117653,53198,155133,26,0,0,138565,0,-364,583145,95959,81931,96486,117653,53198,155133,26,0,0,138565,0,-698,583145,95959,81931,96486,117653,53198,155133,26,0,0,138565,0,-589,583145,95959,81931,96486,117653,53198,155133,26,0,0,138565,0,-155,583145,95959,81931,96486,117653,53198,155133,26,0
2,0,160239,0,966,892086,56162,281329,85763,50635,111399,205386,26,0,0,160239,0,-641,892086,56162,281329,85763,50635,111399,205386,26,0,0,138565,0,646,583145,95959,81931,96486,117653,53198,155133,26,0,0,138565,0,845,583145,95959,81931,96486,117653,53198,155133,26,0,0,138565,0,-940,583145,95959,81931,96486,117653,53198,155133,26,0,0,138565,0,-364,583145,95959,81931,96486,117653,53198,155133,26,0,0,138565,0,-698,583145,95959,81931,96486,117653,53198,155133,26,0,0,138565,0,-589,583145,95959,81931,96486,117653,53198,155133,26,0,0,138565,0,-155,583145,95959,81931,96486,117653,53198,155133,26,0,0,138565,0,748,583145,95959,81931,96486,117653,53198,155133,26,0
2,0,160239,0,-641,892086,56162,281329,85763,50635,111399,205386,26,0,0,138565,0,646,583145,95959,81931,96486,117653,53198,155133,26,0,0,138565,0,845,583145,95959,81931,96486,117653,53198,155133,26,0,0,138565,0,-940,583145,95959,81931,96486,117653,53198,155133,26,0,0,138565,0,-364,583145,95959,81931,96486,117653,53198,155133,26,0,0,138565,0,-698,583145,95959,81931,96486,117653,53198,155133,26,0,0,138565,0,-589,583145,95959,81931,96486,117653,53198,155133,26,0,0,138565,0,-155,583145,95959,81931,96486,117653,53198,155133,26,0,0,138565,0,748,583145,95959,81931,96486,117653,53198,155133,26,0,0,138565,0,893,583145,95959,81931,96486,117653,53198,155133,26,0
